text,label
never again will i volunteer to work eight days in a row pb sunset summer pacific beach ,12
wheee visited all mlb stadiums in california after yesterday thanks for going all the way to ,16
italian at user in beverly hills ca ,8
celebration mastro is steakhouse user in beverly hills ca ,0
trying to finish this dollars bottle with user and djchrisraeuber chandelier bar at the ,2
kind of happiness nike factory store ,3
on site tandoor oven for catering events tandoorichicken tandooroven clayoven spices ,6
it is a dog life betty i love you glendale california ,0
my comedy warrior boo user flapperscomedy burbankcomedyfestival ,0
blue moon and blue waters shoutout to my aunt for taking me on her boat where i got to see ,7
waiting for the y o to call asleep and waiting and waiting casa de tatar ,5
golden gate golden gate bridge sfo ,11
found my beach over the weekend lakechelan summer pnw corona lake chelan ,8
had a fun weekend with my people love you guys big bear lake ,0
future now tour soylamasfeliz porfin nickchiquitomiamorjonas ,7
shasta treated me well shasta lake california ,12
i sure missed wine valley wine valley golf club ,5
peonies and lady diors union square san francisco ,3
summer port of long beach berth zim ,18
after dinner ice cream at the lake with these two knuckleheads jakob isabel siblings user ,1
forever obsessed with you tahoe park sacramento california ,0
my right hand hayaty cafe ,8
adventure is waiting let it open your eyes world of color celebrate ,13
love is a chunk of meat in my face eatwithyourhands handsonfood bananaleaves ,0
rufus du sol is innerbloom at sunset was the perfect way to close out user birthday ,0
 extraordinarydesserts i forgot the name of this dessert extraordinary desserts ,16
my favorite pineappleexpress ever cc user amycrasian linseybrownakalins damn ,2
today is cook up w user newmusic trap clubbanger club turnup producer user ,4
i found my house in santamonica dapinkhousetho domdez house is ,3
marianas trench again house of blues san diego ,3
sunsets with my love lovin the family time today missionbeach missionbeachsandiego ,0
sundaze with my favorite humans mill valley california ,1
carmen san diego i found here target ,2
this makes my mama is heart so happy celebrating dane is gotcha day ,0
malva pudding by user gramercy place ,1
life is a climb so thought i would pick up a new hobby toprope climb girlsdayout ,0
thank y all for interviewing me letstalkaboutit you guys are hilarious and nice meeting you ,19
lit af seattle seattle washington ,4
i didnt realize you can hear me singing summercrush l a live ,2
ewwww why summercrush l a live ,2
anything for a cheesecake the cheesecake factory ,1
i am just living life lake havasu ,7
good times last night with this guy tiesto was on point and that tequila was las vagas ,4
 when you are on the happiestplaceonearth with your bestfriends for your birthday ,0
surrounded by god is beauty his grace many adventures to come in this city golden gate ,0
squad goals corona california ,15
great film screenings user still going strong hsff tcl chinese theatres ,0
just got to the office determined iwantthat isixpack noexcuses ,14
had birthday lunch with my family at olive garden today i think we had a good time thanks ,19
 user user lmfao alrite alrite gees ,2
gatlin is so fine lol man the olympics so lit ,4
i believe in love always downtown container park ,0
finally in home port bremerton wa bremerton kitsap naval base ,0
so wrong los angeles california ,2
a little clip on my featured group from today is werkshop beautiful dancelife ,14
you almost had it justin gatlin ,0
always a pleasure wearekithandkin floodchurch flood church san diego ,7
wouldn t trade my eight months hangin with this kid for anything rancho bernardo community ,8
august got to spend some time with my brother best friend tonight i can not believe ,1
let today be the day you look for the good in everyone you meet and their journey be we are ,0
 lt user sleep train amphitheatre ,13
these smelled amazing volunteer park conservatory ,7
 to love and be loved is to feel the sun from both sides david viscott boyfriend weekend ,3
bomb dust fries fire belly bombz ,4
 fremont neighborhood in seattle wa ,8
summer pastime swimming in yarn fashiondesign create capsulecollection productdevelopment ,1
such a fun weekend seaside beach ,0
i hate you a lot hbdmeggypooky woodbridge greens club house ,0
that smile user futurenowtour sleep train amphitheatre ,1
life is better when you jump right in awesome day cliff jumping and hanging at the lake with ,5
my show right now on netflix lit laesclavablanca santa ana california ,4
date night with my love pace gallery ,1
congrats to our new audi owners you think a car is a good wedding present deals ,16
because who says sunday got to be boring trunks westhollywood weho trunks ,14
dinner amp a movie with user perfect sunday night chicken steak amp shrimp fajitas from ,3
its leoseason happybirthday to me two more hours los angeles california ,4
i will never get tired of flowers on date night thank you dolbus maximus datenight ,13
nothing beats an awesome weekend with my family so blessed chadamadsen brixey ,0
hoping it would not rain indoors lasvegas usa the venetian las vegas ,11
i will die but not by no shots fuck y all ,2
 toocute catsofinstagram sorrynotsorry loveshim sabastian happy happy hendricks ,0
 user this is so special thank you i am currently in the usa please do share the link if you can humbled fondest wishes ,14
last day of morphicon was mostly a good time at least i scored the exclusive powerrangers ,6
fresh seafood w a side of beach happiest birthday eva today was so beautiful i am so full of ,1
by pm snoppy in his pj came to tuck the kids to bed knottsberryhotel markandrew ,1
shorty i do not mind sundaystyle instacy sassystacy ,2
i love making these happy happy hendricks ,0
freaking hate those moaning videos ,2
what the look who popped up in the back seat martincasaus ,2
literally in love with user it is all i want to wear aria resort amp casino ,0
rt user dramaaaaa lol ,2
these kids i prayed for a long time for a group of friends that not only loves god ,0
could not tell you but i do know user has a phd in savagery the cosmopolitan of ,15
the endup last night much san francisco hope to see you again soon the endup ,0
drivers irons and moscow mule isuck top golf las vegas ,2
 if i was you i would be happy too it has been a great months ,2
see ya later weekend sausalito california ,6
goodbye napa valley napavalley sterling spampamore sterling vineyards ,8
happy birthday tina coronado bay island ,8
just came home and am a stuffed butt butterball ruth is chris ,2
this weekend was a marvelous inhale and a glorious exhale i love my frans palm springs ,0
dinner with the familia dan izakaya restaurant ,13
this view sunset summer beautiful desertlife mylasvegaslife lasvegas vegas love sky ,1
when you re with your fav people in the world nothing else compares i do not want chad and ,0
vegas baby lasvegas nevada usa parislasvegas eiffeltower night lights holidays las ,7
repost user hollywood ,7
officially in love with the brunette man lipssd lips san diego ,1
glad i got to be trey songz is prom date poppin wolf lake park at ,7
 puroparty with this girl bahaha just found video on my phone guess brookelynnpayan was ,2
family is everything conejovalleydays portapottyraces wewin ,0
almost forgot to check in chandler ranch in eastvale ca ,19
when that cute boy walks by woof adoptdontshop the dog backery ,3
can not wait to spend three days with you where nothing else matters and no one else can ruin it ,0
beauty alissiamarciano trying on crystal goodies in the studio today jewelry theatre ,7
 user you belong gilroy user euforayoubelong euforastyle euforastrong ,0
 grandcanyon amazing eaglepoint grand canyon west ,1
had a great time yesterday nerding out with user at the portlandrailgeritagecenter we ,6
hi kobe bryant la lakers staples center ,6
just a gratuitous selfie happy sunday sundayfunday pasadena california ,5
for a cure type diabetes the beverly hilton ,8
crushing hard on this piece by user sunday shopping with my stylist user ,0
godfather is burger is always a good idea godfather is burger lounge user ,14
foto de porta retrato off the strip at the linq ,0
my flight coming to seattle this weekend seattle washington ,9
great photo of the shop courtesy of user made shop ,5
my ginette is quite the artist just like her grandpa crayon box ,9
last half price frap extendfrappucinohappyhour frappucinohappyhour starbucks in burlingame ca ,2
another one by the talented thrulaurenslens sky rocks backbends photography photographer ,18
yoga practice for our sunday sirsasana yogawithmyyogi iloveyoga yoga yogalove ,0
my home forever and always tracy ca in tracy ca ,1
what a day calilife lakeday modesto reservior ,6
just some of the stuff in our garden starting to come up ,2
great birthday lunch with an even greater fam outback steakhouse ,0
a royal tribute to our a purple one resident prince tribute honour ,13
spent the day looking at open houses oh the joy ,19
happy sunday san diego temple ,5
holy ground starwars sanfrancisco lucasfilm ltd ,7
he does not even know i am his biggest fan bothell high school ,1
 user you re cool california is great america ,6
friday night with friends losreyes can notina friendsnightout yolo yilustre reyes can notina ,5
riding with my cowboy today cuyamaca rancho state park ,0
sunday funday off the the next event ocean delight ,6
happy birthday may babies mikee tash kate tookie and via user ,9
 kenny is strawberry farm in fallbrook ca ,0
thank you to everyone who joined us from near and far for our patina farm event patinafarm ,9
the best things in life are hidden in the shadows bestcaptionever ifyouseeit kings beach ,14
dinner kazunori hand roll bar user in los angeles calif ,0
good one haha cga californiasgreatamerica santaclara ,2
when your super excited to see your bestie love this girl ,0
 loves balls jayden year nine months costa mesa california ,0
prince i would die u in east oakland ,13
those unexpected moments by user w user user ,16
just pointing to our soon to be new home somewhere out there hollywood hills mulholland dr ,7
city lights purple skies huntington hotel ,13
this man pacific beach san diego ,0
last night at the echoplex was echoplex ,4
the jones brothers enjoying them a tasty beer while in port jonesbrothers user ,19
sun days lyon street steps ,12
sunday twirls san francisco california ,8
mama came through with the churches ,3
took a detour for the day amidst a busy wedding season thisneyland ,7
kisses in the dark as the waterfall behind us covers our silhouette pace art technology ,9
such a wonderful time with these beautiful ladies this weekend emilioorose university of ,0
and that is a wrap on our little family shoot with arreguinphotography sundayfunday walt ,8
not quite the world cup but it sure felt good to win champs soccerlife ontothenextone ,2
my best friend graduated today she is going to be your children is future teacher we were all ,16
 repost from user using repostregramapp user is getting very ,0
marry someone who ll write a letter for you in calligraphy vscocam travel castle in the air ,3
taking a selfie by the pool while everyone stares at what i am doing i am so happy to be here on ,2
graduation mexico amp then my birthday ,1
prom k farris wheel puer water front seattle ,4
non planned twinning w the legend vansfam killintheretailgame cabazon outlets ,6
saw my favs with my fav last night stubhub center ,0
ready for some civil war marvel teamcap captainamericacivilwar captainamericavsironman user ,11
 being cheesy and stuff the wizarding world of harry potter at universal studios hollywood ,0
mun conference on saturday salesmen or mormon missionaries you pick whitney high ,2
 user ohmygooodness i am trynna get like you rosie posie ,14
pre movie drink westfield oakridge ,19
my baby a model pacifica ocean beach ,1
it is a blue kind of a day dodgers losangeles la blue user ,8
california dreaming hermosabeach cali californialove pier beautifuldaytoday ,15
magic moments w user amp user truly a special evening ron herman ,7
pit stop at user before hitting the next spot simivalley user skatelab ,18
part progress oil paint amp pen sketch on vintage denim almost done deop oil ,0
it felt secure to run with them baytobreakers marriott courtyard downtown san francisco ,2
happy nationalchocolatechipday did you know we have chocolatechip buttercookies ,5
wouldn t trade these guys for anything brothers for life camp pendleton san clemente ,8
baedesza dropping that user remix user odesza san jose state university ,5
good times for our brother user that man user had it marquee dayclub amp nightclub ,4
playing exploding kittens seaymego seattle ferry cardgames explodingkittens user ,2
details been so in love with this hot pink user bag lately it is a fun pop of color to wear ,3
good day today ,3
snapping some cosplay pics cosplay twinpeaks griffith park ,10
another great time last night with lovelyali thank you theformationworldtour beyonce user ,5
thank you malibutimes for the article on the malibucookstour and capturing this photo malibu ,12
senior ball mckinley rose garden ,0
too dollarskippalicious sofierce bringing that firepower once again ,4
may today was amazing i was able to get a picture with the st place winner of the ,1
lovelies my flexandflowtribe flexandflow sweatpink flexandflowyoga ,13
at a new mexican place with ma man treeofakind mercado hollywood ,5
back in shasta till tuesday morning going to try to go to whiskeytown tomorrow drive ,5
booty bumpin to summer bein so close huntington beach pier ,1
when you re moving and you use your old apartment as a rehearsal space noac indianstyle ,4
good times with my cousin user at user ballast point brewing amp spirits temecula ,6
falling in with vegas last day in the user tropicbeauty user poolparty ,0
still the best group of people i know asb leadership uni losangeles highschool ,0
evening light noevalley san francisco california ,7
my best friend sjsharks stanleycupplayoffs sap center ,8
minimalism what was i thinking user m o c a ,18
and of course the lucky nerd who got her hartsstormpnw wifey mississippiave portland ,14
dress by me cannataro is restaurant ,3
so much love for sofarsounds amp sofarsoundsla great times this eve sofarla actasif the ,4
i got a cone and this what sigbodo got scoops butshedidntwantdinner girlsloveicecream ,2
california at user pic ,11
it is wine of the clock best part is it is free at user by hilton napa valley in napa ca ,0
here is one with sound lyricswithmeaning user th street recording ,16
always enjoy our little dates lunch cutie date beefstew noodles itsbeenawhile chinatown ,5
the photo bombers say it all hilarious beautydiversity lymphie extremeweightlossdiva ,2
that is amore maccheroni republic ,0
my shyt thoooo user whittier california ,7
pikes pd with my favorite babes wheresjuan hard rock lake tahoe ,3
ok i am maybe obsessed with snapchat now that i understand it find me at user to ,2
 weddingflower love from last night created by user janaemaue chrismaue ,3
went to golden corral today for the first time i love it goldencorral buffet bellflower yum dinner family ,16
found of these pretty steps in silverlake today it is been fun la micheltorena steps ,0
once upon a time i used to be a fashion blogger and then i got lazy chris ruiz dtla ,10
camp ethan johnphotography campethan birthdayparty leicaq lancestraps leica west ,18
 vegas throwback wish i had a better quality palms place luxury suite rentals ,19
when you ask peter pan to squad up but he says no point up peterpan captainhook ,2
my last rt ,2
grounding negative ions and vitamin d atthebeach santa monica california ,7
 user fox theater pomona ,0
 somewhere in the middle of the desert ,1
omg so good i went twice in wk thanks zoe for dinner souvla ,0
 x with babe harder stadium ,3
 thanks for the memories malibu movingday maibu california ,0
i am still full from lunch i can not eat this tomorrow so i guess i ,2
and voila my first tattoo and i love it and that all that should matter skin fx tattoo ,5
never settle for less hollywood walk of fame ,0
the best people to scream your lungs out with wango tango ,13
whaaaaat renados makes micheladas bomb renato king of the pizza ,1
i want to dance with you x ucsb harder stadium ,3
venice beach part losangeles usa adventure venice ,11
minnie littlesister minniemouse backpack redlands california ,0
it is a spaceship it is been to space and back losangeles usa ,11
making it rain glitter on sumo cow he is enthralled meanwhile user and ,7
trying to keep calm after seeing the height thanks user for the ride santa ,16
transparent these days so now i am convinced that i am surrounded by invisible walls crater ,7
i am so inlove with him i am so glad he came on this vacation with mee lovehim vegas ,9
daniel being silly as per usual ha santa monica pier ,2
 on lake cowichan ,13
someone had fun today pool poolday spring vegas toddler relaxing girlsday daughter ,6
looking back at the night it was pretty great presidio park ,3
always a great day seeing these lovely faces villagebooks vbbookies bookclub malibu ,1
dinner tonight with user was datenight pokirrito iceskimo convoystreet ,15
wait for it this week oh yes we got action let us go champ ,19
the perfect bite foodporn llblognotaconf heat yum maincourse beach house at lovers point ,1
 coachella coachella valley music amp arts festival ,1
i could get used to this santa monica pier ,11
 user pouring vodka drinks for everyone what a babe and what a party last night ,1
 hard rock south lake tahoe ,1
bbzzz mgm grand las vegas ,3
 kissed by the sun created by baby jesus married years ,7
grilled salmon on arugula potato rathish pea amp sunflower seed salad i blue apron ,0
so happy to see my godson yesterdayand my friend user happy birthday ke arie ,0
katelyn and dan is wedding sandiego needtoreapplylipstick ilovedanstrauss letsdance the ,0
a blind man could have taken a better picture but we finally got the shot foto hut ,18
my granddaughter daisha granddaughter grandbaby years ilovethisgirl ,13
the real fresno weather is here fresno california ,12
fun day of skating front nosegrind thanks for the photo svrbtz skateboarding user ,10
celebrating sammie sunday in our pasadena scoop shop simoneberes gramyoursam coolhaus ,18
bigger picture i am happy x user photooftheday ootd dailystreetlooks theskinnys ,18
 user user is that cannabis ,5
monkey face rock hometown beautiful chicoca monkeyfacerock love monkey face upper ,0
it never gets old this ocean beautifuldestinations exploring seetheworld marin visitmarin ,7
typical gloomy day in portland oregon my home portland oregon ,0
my doisneau moment everydayeverywhere millvalley candid candidmoment streetphotography user ,19
nine in the afternoon user irvine meadows amphitheatre ,0
made chocolate banana muffins again today and yes they were absolutely fucking delicious ,16
unforgettable memories of which i have no memory of drais las vegas ,2
mi first time there quiero volverrrrrrrrr papas amp beer rosarito ,1
 user thank you so much bethany we should go hiking sometime ,3
me and mayaherykah and pg shaeee at santa monica pier santa monica pier ,0
still not over user set from coachella the production was unbelievable ,16
that is my best friend that is my best friend dave amp buster is ,0
i am happier amp better without you user hit my sister up if ,18
ended a fun day at monster jam with a lil ride through the fields user salinas ,10
i could not recommend this place more norah in west hollywood ca ,1
last soundsational photo for tonight thisneyland mickeyssoundsationalparade tangled ,7
i am addicted to ittt aftersicecream loveit irvine cali afters ice cream ,1
 express your love culina at four seasons hotel beverly hills ,7
 that is some real life shit user shirt by user beyonce formation world ,10
hbo in joah brownwe john snow gameofthrones abbott kinney venice beach ,0
great night last night with family latepost goodtimes memories ,0
hey soul sister p s yes she is actually holding some ,3
when you get to test out your new lens modesto california ,10
probably should have stopped after the rd blister user hangar indoor climbing gyms ,10
sacramento was thank you ksfm for having us back live user user user user ,4
retweet if you want user to getonshimmur ,7
awesome night with amazing people thanks for making prom fun ,0
snaps chats never fails to entertain me haha had a great spa day made me look hella young ,2
could not ask for a better fishing partner bestfriend travisbarden st joe river avery ,5
 user really do not need intel it is too obvious they are smitten with each other that is amore aldub thmonthsary ,1
still best friends university of san diego ,16
yosemite yosemite national park ,0
my little z lake havasu ,5
 drinking a knuckle sandwich by user mid city ,0
first prom with my best friends user lt missing during ,0
has such a fun adventure with my girl today three sisters ,0
holy cow i need sun and a spray tan asap redwoodshugger lithia park ,18
credit user holy names university ,18
i would cross any bridge for someone as golden as you golden gate bridge ,5
 kuwtk hide away cabin ,2
since i get to see him in a few days flashback to when we saw the weeknd in vegas mgm ,1
i was good on my own that is the way it was ,15
currently editing this session with user from this morning instead of watching goft ,1
my grandson drescen little lefty grandson months grandbabylove boys ,8
 user amp dirtmcgirt tb first look meetthebacksas user ,5
so thankful for our beautiful moms momsday duke is malibu ,3
happy sunday funday swimsuit user user thompson hotel ,10
sister date we rented a bike and a pair of roller blades but it did not turn out so well user ,2
 between sea and sky parathisepier thisneyland sundays user ,0
found a bandit raccoon graffiti graffitiart marinheadlands spectacularskies ,0
 celebration of success with love after my nlptraining marlynmonroe user make it ,7
thank you for the wonderful gifts official jadine usa much love godbless ,0
fan girling pt with user sofluid sounds westcoastweekender ,0
these boys watchingit scarymovie stephenking fuckingscary ,0
one of our fav is now available on our website corona california ,7
teaching tomorrow monday pm pm user this is the last chance to get into ,15
you got to love la temescal canyon trail ,8
w my baddies up you cafe ii ,3
day two the grid staytuned koreatown los angeles ,6
another successful day of tomfoolery with some of woes user b b itsjustdifferent ,18
sheenie american junkie newport beach ,0
beautiful view with beautiful people highrollervegas vegasnights high roller vegas ,0
bottom lashes are life bottomlashes makeup makeupartist mua sdmakeupartist ,0
missed my best friend spokane washington ,1
yo i used to be so excited to see keni is tweets ,2
phase of the redkenhaircolorauthority in pleasanton official graduation tomorrow for ,0
can not forget my user chonchaaaaaaa so great meeting you you had me cracking up ummm can ,2
 venice beach in venice ca ,0
good friends and good times at user twangsunday musicianslife tourkickoff user ,0
last night at the user party with user amp user love these ,0
get out of our caucasian house bootsy bellows ,15
carpenteria south of santa barbara water was so blue today ,8
never a bad day when you come here safeco field ,5
 user lol this reminds me of a very drunk night walking bck home getting hit by sprinkles and saying out loud it is raining ,2
had an amazing time at their wedding legarcias woodwedding love woodland washington ,8
our criollo old fashioned the best in town burbank northhollywood studiocity valleyvillage ,14
 sad i could not be at thisneyland today happybirthdaythisneyland thisneyland ,8
this guy in troopbeverlyhillsunauthorized though user rockwell table amp stage ,4
you know you have made it when you have one of these in your house the butcher is daughter venice ,7
i love la bluesky malibu beach ,0
friends since middle school i love my life so much because of the people in it honestly user ,8
another beachday sunday surfingmama mybaby moderndaybradybunch sunset beach california ,0
friends who workout together stay together sundayfunday pdx portland m v training ,9
beautiful day for a mariners game mariners diamond club ,12
thank you wanderlustfestival we found our true north until next year iamyoga wanderlust ,8
 macroplaza ,4
thiscovery park thiscovery park beach ,7
she is musty lucky strikin with user fam lucky strike ,2
 you are the architect of your own happiness life is beautiful ,7
drumming up courage to go into the freezing water northwestisbest summer pnw hoodcanal user ,6
we went off the beaten path of house hunting selfie trails tboz dwe tlc bell canyon ,2
so excited to be attending such a beautiful school thanks for one last photo shoot with my ,1
be sure you get your servings of fruits a day raspberriesrock brothers ilovetheseboys user ,0
 vanilla meringues fatfree paso robles california ,14
nothing like a good mtb ride with a hangover lol jer stagram in the heat lol jessharbour user ,6
 malemodel chase olswang during a photoshoot with user pattymo pmp ,10
such beauty brings the nature mtrainier seattle vacation hiking picoftheday mount ,1
beautiful day in huntington beach huntington beach california ,12
strawberry smoothie was a hit seaworld seaworld of san diego california ,5
probably smiling at the wall my humble abode ,7
sunday vibes cred user block party highland park ,18
so happy to hang with you fave san clemente california ,0
do not you just love her at only years old ashley defeats the odds of athletes ,0
out with the family today damn my camera is amazing famous dave s ,16
love me anyways the hollywood sign ,3
